country,city,customer_name,payments_count,total_amount,rank_in_country,segment
Russian Federation,Atinsk,Jimmy Schrader,28,104.72,12,постоянный
Russian Federation,Kamyin,Ben Easter,23,102.77,13,постоянный
Russian Federation,Lipetsk,Marie Turner,21,101.79,14,постоянный
Russian Federation,Jelets,Robin Hayes,23,101.77,15,постоянный
Russian Federation,Ivanovo,Connie Wallace,21,95.79,16,обычный
Russian Federation,Elista,Donna Thompson,18,87.82,17,обычный
Russian Federation,Zeleznogorsk,Jack Foust,23,87.77,18,обычный
Russian Federation,Serpuhov,Alfredo Mcadams,20,85.80,19,обычный
Russian Federation,Balaiha,Doris Reed,19,84.81,20,обычный
Russian Federation,Kursk,Paul Trout,15,80.85,21,обычный
Russian Federation,Syktyvkar,Herbert Kruger,19,73.81,22,обычный
Russian Federation,Kaliningrad,Robert Baughman,15,71.85,23,обычный
Russian Federation,Jaroslavl,Delores Hansen,16,71.84,24,обычный
Russian Federation,Dzerzinsk,Ray Houle,20,71.80,25,обычный
Russian Federation,Niznekamsk,Ann Evans,14,67.86,26,обычный
Russian Federation,Novoterkassk,Jeanette Greene,18,66.82,27,обычный
Russian Federation,Teboksary,Juan Fraley,21,63.79,28,обычный
Saint Vincent and the Grenadines,Kingstown,Jose Andrew,18,64.82,1,обычный
Saudi Arabia,Jedda,Joyce Edwards,24,116.76,1,постоянный
Saudi Arabia,al-Qatif,Travis Estep,22,91.78,2,обычный
Saudi Arabia,Abha,Peggy Myers,23,86.77,3,обычный
Saudi Arabia,Tabuk,Mark Rinehart,20,81.80,4,обычный
Saudi Arabia,al-Hawiya,Christina Ramirez,17,75.83,5,обычный
Senegal,Ziguinchor,Ronnie Ricketts,24,95.76,1,обычный
Slovakia,Bratislava,Keith Rico,23,80.77,1,обычный
South Africa,Boksburg,Ethel Webb,31,131.69,1,постоянный
South Africa,Soshanguve,Lucille Holmes,27,107.73,2,постоянный
South Africa,Johannesburg,Dean Sauer,26,106.74,3,постоянный
South Africa,Rustenburg,Dale Ratcliff,26,104.74,4,постоянный
South Africa,Kimberley,Ruth Martinez,18,98.82,5,обычный
South Africa,Springs,Louise Jenkins,22,96.78,6,обычный
South Africa,Botshabelo,Esther Crawford,28,95.72,7,обычный
South Africa,Newcastle,Edwin Burk,20,93.80,8,обычный
South Africa,Klerksdorp,Edna West,19,79.81,9,обычный
South Africa,Paarl,Dennis Gilman,20,78.80,10,обычный
South Africa,Chatsworth,Dwight Lombardi,17,74.83,11,обычный
South Korea,Naju,Tanya Gilbert,31,138.69,1,постоянный
South Korea,Tonghae,Fernando Churchill,23,109.77,2,постоянный
South Korea,Uijongbu,Courtney Day,26,103.74,3,постоянный
South Korea,Kimchon,Emily Diaz,23,90.77,4,обычный
South Korea,Cheju,Bonnie Hughes,20,84.80,5,обычный
Spain,Ourense (Orense),Wesley Bull,35,158.65,1,ключевой
Spain,Donostia-San Sebastin,Mae Fletcher,21,107.79,2,постоянный
Spain,A Corua (La Corua),Julie Sanchez,28,106.72,3,постоянный
Spain,Gijn,Chris Brothers,20,77.80,4,обычный
Spain,Santiago de Compostela,Nelson Christenson,16,62.84,5,обычный
Sri Lanka,Jaffna,Manuel Murrell,27,103.73,1,постоянный
Sudan,Omdurman,Diane Collins,30,144.70,1,постоянный
Sudan,al-Qadarif,Johnny Turpin,19,57.81,2,обычный
Sweden,Malm,Janice Ward,33,139.67,1,постоянный
Switzerland,Bern,Gail Knight,23,106.76,1,постоянный
Switzerland,Lausanne,Wade Delvalle,22,83.78,2,обычный
Switzerland,Basel,Katherine Rivera,13,57.87,3,обычный
Taiwan,Changhwa,Tammy Sanders,37,149.61,1,постоянный
Taiwan,Hsichuh,Roger Quintanilla,34,144.66,2,постоянный
Taiwan,Fengshan,Morris Mccarter,31,135.68,3,постоянный
Taiwan,Nantou,Elizabeth Brown,35,134.65,4,постоянный
Taiwan,Lungtan,Melissa King,34,123.66,5,постоянный
Taiwan,Touliu,Amber Dixon,27,113.73,6,постоянный
Taiwan,Tanshui,Clifton Malcolm,26,111.74,7,постоянный
Taiwan,Chungho,Brad Mccurdy,24,100.76,8,постоянный
Taiwan,Chiayi,Beverly Brooks,22,89.78,9,обычный
Taiwan,Tsaotun,Kirk Stclair,17,50.83,10,обычный
Tanzania,Zanzibar,Charlene Alvarez,25,109.75,1,постоянный
Tanzania,Mwanza,Herman Devore,28,109.72,2,постоянный
Tanzania,Tabora,Yolanda Weaver,25,102.75,3,постоянный
Thailand,Songkhla,Jacqueline Long,32,146.68,1,постоянный
Thailand,Nakhon Sawan,Shawn Heaton,31,142.69,2,постоянный
Thailand,Pak Kret,Carolyn Perez,28,111.71,3,постоянный
Tonga,Nukualofa,Henry Billingsley,16,64.84,1,обычный
Tunisia,Sousse,Gregory Mauldin,22,73.78,1,обычный
Turkey,Balikesir,Brandon Huey,36,145.64,1,постоянный
Turkey,Usak,Rosemary Schmidt,31,134.69,2,постоянный
Turkey,Batman,Bernice Willis,30,133.70,3,постоянный
Turkey,Osmaniye,Karen Jackson,27,131.73,4,постоянный
Turkey,Tokat,Casey Mena,32,130.68,5,постоянный
Turkey,Sivas,Gabriel Harder,25,108.75,6,постоянный
Turkey,Sultanbeyli,Brent Harkins,22,104.78,7,постоянный
Turkey,Eskisehir,Edgar Rhoads,23,89.77,8,обычный
Turkey,Gaziantep,Corey Hauser,19,83.81,9,обычный
Turkey,Kilis,Leslie Gordon,20,83.80,10,обычный
Turkey,Denizli,Vernon Chapa,17,81.83,11,обычный
Turkey,Adana,Larry Thrasher,19,74.81,12,обычный
Turkey,Inegl,Billie Horton,21,71.79,13,обычный
Turkey,Tarsus,Joann Gardner,15,64.85,14,обычный
Turkey,Ktahya,Sheila Wells,14,57.86,15,обычный
Turkmenistan,Ashgabat,Jeanne Lawson,26,126.74,1,постоянный
Tuvalu,Funafuti,Dawn Sullivan,22,93.78,1,обычный
Ukraine,Sumy,Brittany Riley,27,151.73,1,ключевой
Ukraine,Simferopol,Kathryn Coleman,24,118.76,2,постоянный
Ukraine,Mukateve,Monica Hicks,27,112.73,3,постоянный
Ukraine,Kamjanets-Podilskyi,Todd Tan,28,109.72,4,постоянный
Ukraine,ostka,Pedro Chestnut,22,97.78,5,обычный
Ukraine,Konotop,Julio Noland,19,84.81,6,обычный
United Arab Emirates,Sharja,Misty Lambert,22,102.78,1,постоянный
United Arab Emirates,al-Ayn,Lillian Griffin,24,102.76,2,постоянный
United Arab Emirates,Abu Dhabi,Tom Milner,29,99.71,3,обычный
United Kingdom,York,Gilbert Sledge,27,121.73,1,постоянный
United Kingdom,Southampton,Marshall Thorn,23,117.77,2,постоянный
United Kingdom,London,Cecil Vines,26,115.74,3,постоянный
United Kingdom,Southend-on-Sea,Sandra Martin,25,109.75,4,постоянный
United Kingdom,Stockport,Dan Paine,21,106.79,5,постоянный
United Kingdom,Dundee,April Burns,23,74.77,6,обычный
United Kingdom,Southport,Armando Gruber,18,72.82,7,обычный
United Kingdom,Bradford,Anne Powell,21,72.79,8,обычный
United Kingdom,London,Mattie Hoffman,20,58.80,9,обычный
United States,Cape Coral,Karl Seal,42,208.58,1,ключевой
United States,Memphis,Ana Bradley,33,167.67,2,ключевой
United States,Akron,Zachary Hite,29,134.71,3,постоянный
United States,Lancaster,Rosa Reynolds,28,129.72,4,постоянный
United States,Sterling Heights,Jamie Rice,27,126.73,5,постоянный
United States,San Bernardino,Patricia Johnson,26,123.74,6,постоянный
United States,Fontana,Alice Stewart,30,123.70,7,постоянный
United States,Joliet,Nathaniel Adam,25,117.75,8,постоянный
United States,Brockton,Valerie Black,25,116.75,9,постоянный
United States,Greensboro,Veronica Stone,30,115.70,10,постоянный
United States,Lincoln,Ashley Richardson,25,112.75,11,постоянный
United States,Rockford,Bill Gavin,26,106.73,12,постоянный
United States,Dayton,Shelly Watts,23,105.77,13,постоянный
United States,Dallas,Bryan Hardison,24,105.76,14,постоянный
United States,Augusta-Richmond County,Diana Alexander,27,105.73,15,постоянный
United States,Sunnyvale,Kristin Johnston,26,103.74,16,постоянный
United States,Garden Grove,Rene Mcalister,24,101.76,17,постоянный
United States,Aurora,Clinton Buford,24,98.76,18,обычный
United States,Salinas,Cassandra Walters,20,96.79,19,обычный
United States,Citrus Heights,Betty White,23,96.77,20,обычный
United States,Warren,Brandy Graves,23,94.77,21,обычный
United States,Compton,Renee Lane,24,92.76,22,обычный
United States,Peoria,Carole Barnett,25,92.75,23,обычный
United States,Bellevue,Wilma Richards,20,91.80,24,обычный
United States,Arlington,Richard Mccrary,20,87.80,25,обычный
United States,Garland,Ian Still,25,86.75,26,обычный
United States,Manchester,Victor Barkley,22,85.78,27,обычный
United States,Laredo,Jennifer Davis,25,84.75,28,обычный
United States,Clarksville,Eva Ramos,18,83.82,29,обычный
United States,Kansas City,Thomas Grigsby,19,81.81,30,обычный
United States,Saint Louis,Joan Cooper,21,78.79,31,обычный
United States,Grand Prairie,Kim Cruz,20,76.80,32,обычный
United States,El Monte,Jacob Lance,20,74.80,33,обычный
United States,Roanoke,Toni Holt,17,73.83,34,обычный
United States,Aurora,Scott Shelley,18,60.82,35,обычный
United States,Tallahassee,Caroline Bowman,13,37.87,36,обычный
Venezuela,Maracabo,Calvin Martel,23,111.77,1,постоянный
Venezuela,Cuman,Cindy Fisher,27,111.73,2,постоянный
Venezuela,Caracas,Carmen Owens,25,94.75,3,обычный
Venezuela,Valencia,Mathew Bolin,20,84.80,4,обычный
Venezuela,Ocumare del Tuy,Yvonne Watkins,19,81.81,5,обычный
Venezuela,Valle de la Pascua,Kristina Chambers,22,80.78,6,обычный
Venezuela,Barcelona,Alberto Henning,21,66.79,7,обычный
Vietnam,Cam Ranh,Neil Renner,31,149.69,1,постоянный
Vietnam,Nam Dinh,Greg Robins,26,131.74,2,постоянный
Vietnam,Nha Trang,Mitchell Westmoreland,31,127.69,3,постоянный
Vietnam,Haiphong,Beth Franklin,24,95.76,4,обычный
Vietnam,Vinh,Harvey Guajardo,20,87.80,5,обычный
Vietnam,Hanoi,Patrick Newsom,23,83.77,6,обычный
"Virgin Islands, U.S.",Charlotte Amalie,Nathan Runyon,31,121.69,1,постоянный
Yemen,Hodeida,Gordon Allard,31,157.69,1,ключевой
Yemen,Aden,Ella Oliver,30,134.70,2,постоянный
Yemen,Taizz,Gina Williamson,27,110.73,3,постоянный
Yemen,Sanaa,William Satterfield,19,70.81,4,обычный
Yugoslavia,Kragujevac,Maria Miller,28,130.72,1,постоянный
Yugoslavia,Novi Sad,Max Pitt,23,102.77,2,постоянный
Zambia,Kitwe,Barry Lovelace,30,121.70,1,постоянный
